feature,class_label
[-149.  -158.5 -151.  ...  -21.5  -16.     0. ],dog_bark
[117.  121.5 113.  ... -67.5  21.5 101. ],children_playing
[-122.5 -108.5  -89.  ...  -65.   -64.5  -66.5],children_playing
[  8.5   0.5  -7.  ...  10.   15.5 -31. ],children_playing
[ 53.5  84.5 135.5 ... 124.  157.  176. ],children_playing
[181.  217.5 246.  ... 189.  195.5 201.5],children_playing
[-47.5 -72.  -90.  ... -27.5 -17.   -9. ],children_playing
[ 147.   146.   142.  ... -115.  -112.5 -104. ],children_playing
[-57.  -53.5 -44.5 ... 135.5 149.5 153. ],children_playing
[   0.    0.    0. ... 1043. 1026. 1073.],car_horn
[   0.    0.    0. ... -480. -318. -133.],car_horn
[  0.   0.   0. ... 803. 700. 558.],car_horn
[   0.    0.    0. ... -105. -262.   38.],car_horn
[   0.    0.    0. ... 2227. 2241. 2434.],car_horn
[  0.    0.    0.  ... -13.5  -4.   20. ],dog_bark
[-2763.  -1279.    167.  ...   -57.5   -58.    -69.5],dog_bark
[-27.5 -83.  -67.5 ... 835.5 428.5  99. ],dog_bark
[-85.  -87.5 -66.5 ... 445.5 411.5 366.5],dog_bark
[   0.     0.     0.  ... 2189.5 2074.  1941. ],dog_bark
[ 0.   0.   0.  ... 66.5 44.  34. ],dog_bark
[ 53.    9.  -43.5 ... 471.  484.  422.5],dog_bark
[   29.     15.     18.5 ...  -613.5 -1431.  -2302. ],dog_bark
[   0.     0.     0.  ...  289.5  459.  1336. ],air_conditioner
[-2615.5 -2297.5  -384.  ...  3235.   3741.5  3723. ],air_conditioner
[2175.5 2822.5 2328.  ... 1816.   603.   135. ],air_conditioner
[3748.  2273.  1061.5 ... 2482.  3486.5 3326. ],air_conditioner
[ 651.5 1520.5 2537.5 ... 1376.5 1561.  1695.5],air_conditioner
[ 2357.5  1282.5   481.5 ...  -990.  -1133.5  -571.5],air_conditioner
[1701.5 1227.   339.5 ... 3985.  3749.5 3254. ],air_conditioner
[ 237.   799.  1412.  ... 1461.   802.   301.5],air_conditioner
[ 2188.5   -47.  -3243.  ...  4112.5  3905.5  3391. ],air_conditioner
[ 163.5  696.5 1445.5 ... 4643.  4513.  3581. ],air_conditioner
[3760.5 4571.5 4291.  ... 2310.5 4671.5 5674. ],air_conditioner
[2274.5  899.5 -321.  ... -212.5  357.   707.5],air_conditioner
[2980.  4554.  5938.  ... 4218.  6357.5 7751. ],air_conditioner
[ 5169.   4173.5  2932.5 ... -1963.  -1481.   -855. ],air_conditioner
[ -349.5 -2519.  -4084.5 ...  -204.5  -127.   -220. ],air_conditioner
[ -907. -1725. -2684. ...  1689.  1923.  1234.],air_conditioner
[ 345.  1391.  2237.  ... -215.5  -67.5   60. ],air_conditioner
[  -84.  -1037.  -1113.  ... -3937.  -1174.5   661.5],air_conditioner
[ 937.5 2102.  2538.  ... 1598.  1046.   370.5],air_conditioner
[1085.  1212.  1371.  ... 2363.  2245.5 2314. ],air_conditioner
[ -218.   -508.5   -56.  ... -2671.  -2371.  -1932.5],air_conditioner
